# ExportBarsG8 v2.00 | exportado_em_local=2026.07.15 23:43:31
# server_time=2026.07.16 06:43:31 | gmt_time=2026.07.16 03:43:31 | offset_server_gmt_h=3.0
# broker=MetaQuotes Ltd. | conta_servidor=MetaQuotes-Demo
symbol,tf,rows,first_bar,last_bar,status,file
USDJPY,M15,49543,2024.07.01 00:00,2026.06.30 23:45,ok,IFM_export\USDJPY_M15.csv
USDJPY,M30,68294,2021.01.04 00:00,2026.06.30 23:30,ok,IFM_export\USDJPY_M30.csv
USDJPY,H1,34155,2021.01.04 00:00,2026.06.30 23:00,ok,IFM_export\USDJPY_H1.csv
USDJPY,H4,8552,2021.01.04 00:00,2026.06.30 20:00,ok,IFM_export\USDJPY_H4.csv
USDJPY,D1,1429,2021.01.04 00:00,2026.06.30 00:00,ok,IFM_export\USDJPY_D1.csv
USDJPY,W1,548,2016.01.03 00:00,2026.06.28 00:00,ok,IFM_export\USDJPY_W1.csv
USDJPY,MN1,126,2016.01.01 00:00,2026.06.01 00:00,ok,IFM_export\USDJPY_MN1.csv
# NOTA 2026-07-16: os 28 arquivos *_M5.csv em data/raw NAO vieram deste export —
# sao do export v1.00 (MetaQuotes-Demo, _manifest_export_v100.csv), que cobre
# 2024-07-01..2026-06-30; neste reexport o broker so serviu M5 desde ~2025-03
# (linhas ok_parcial_* acima). Decisao registrada no PROGRESS.md.
